name_a,type_a,name_b,type_b,similarity,decision,confidence,reason
記錄檔資訊,data,資訊檔案,data,0.8407,same,0.8,兩節點名稱語意相近，均指涉資訊或資料的檔案形式
公鑰,data,金鑰物件,data,0.8406,different,0.8,公鑰和金鑰物件在資訊安全中指涉不同概念
網路封包,data,資料封包,data,0.843,same,0.9,網路封包和資料封包在資訊傳遞中是同義詞
日誌檔,data,應用程式日誌檔,data,0.8417,same,0.8,節點 A 和節點 B 都指稱日誌檔的概念，只是節點 B 更具體地指出是應用程式的日誌檔
安全資料,data,資料隱私,data,0.8399,different,0.8,安全資料和資料隱私是相關但不同的概念
暫存記憶,data,記憶體資料,data,0.8397,same,0.8,節點 A 和節點 B 的名稱語意相近，均指記憶體中暫存的資料
記錄檔訊息,data,訊息或檔案,data,0.8448,different,0.8,節點 A 和節點 B 雖然都與資訊或資料相關，但『記錄檔訊息』和『訊息或檔案』指稱的概念不同
入侵訊息,data,訊息,data,0.842,different,0.8,入侵訊息和訊息雖相關但指稱不同概念
秘密金鑰 (secret key),data,金鑰,data,0.8405,different,0.8,節點 A 的秘密金鑰是金鑰的一種特定類型，但節點 B 的金鑰涵蓋更廣泛的概念
事件記錄,data,網頁事件記錄檔,data,0.8396,different,0.8,節點 A 和節點 B 雖然都與事件記錄相關，但節點 B 特指網頁事件記錄檔，指稱不同概念
安全資料,data,安全記錄檔,data,0.8389,different,0.8,安全資料和安全記錄檔雖相關但指稱不同概念
操作記錄,data,記錄,data,0.84,different,0.8,操作記錄和記錄雖相關但指稱不同概念
數位簽章,data,數位簽章值,data,0.839,different,0.8,數位簽章和數位簽章值雖相關但指稱不同概念
機密檔案,data,密文資料,data,0.8389,same,0.8,機密檔案和密文資料都指涉資訊安全中的敏感資料
人事資料,data,個人資料,data,0.8387,same,0.9,人事資料和個人資料在此語境下是同義詞
帳號密碼,data,通行碼,data,0.8393,same,0.8,帳號密碼和通行碼都是用於驗證身份的密碼或碼
檔案資料,data,資訊檔案,data,0.8387,same,0.9,檔案資料和資訊檔案是語意等價的表達
個人資料檔案,data,個人機敏資料,data,0.8384,same,0.8,個人資料檔案和個人機敏資料都指涉個人的私密資訊
加密金鑰,data,密碼,data,0.8403,different,0.8,加密金鑰和密碼雖相關但指稱不同概念
存取事件記錄,data,事件紀錄檔,data,0.8373,same,0.8,兩節點名稱語意相近，存取事件記錄和事件紀錄檔都指涉事件的記錄
資訊,data,資訊檔案,data,0.838,different,0.8,資訊和資訊檔案雖相關但指稱不同概念
敏感性資料,data,敏感文件,data,0.8375,different,0.8,節點 A 和節點 B 雖然都與資料有關，但『敏感性資料』和『敏感文件』指稱的概念不同
密碼檔,data,密碼,data,0.8363,different,0.8,密碼檔和密碼雖相關但指稱不同概念
日誌,data,作業日誌,data,0.8361,same,0.8,日誌和作業日誌在資訊或資料的本體論類別下具有語意等價性
個人重要資訊,data,個人機敏資料,data,0.8363,same,0.9,個人重要資訊和個人機敏資料是同義詞
文書資料,data,備份資料,data,0.8387,different,0.8,兩節點雖相關但指稱不同概念，文書資料和備份資料是不同類型的資料
通訊資料,data,傳輸資料,data,0.836,same,0.8,通訊資料和傳輸資料在此語境下可視為同義詞
資料隱私,data,密文資料,data,0.836,different,0.8,資料隱私和密文資料相關但指稱不同概念
電話簿,data,通訊錄,data,0.8359,same,0.9,電話簿和通訊錄是同義詞
日誌,data,系統日誌,data,0.8359,same,0.8,日誌和系統日誌在資訊或資料的本體論類別下具有相近的語意
稽核資料,data,明文資料,data,0.8361,different,0.8,稽核資料和明文資料雖然都是資料，但指稱不同的概念
應用程式日誌,data,應用程式記錄檔,data,0.8375,same,0.9,兩節點名稱語意等價，日誌和記錄檔在此context下為同義詞
系統記錄,data,記錄,data,0.836,same,0.8,節點 A 和節點 B 的名稱語意相近，系統記錄和記錄都指涉資訊或資料的記錄
測試報告,data,檢測結果報告,data,0.8355,same,0.8,測試報告和檢測結果報告在本體論類別data下為同義詞
tcp 封包,data,路由封包,data,0.8357,different,0.8,tcp 封包和路由封包是相關但不同的網路封包概念
密碼檔,data,敏感文件,data,0.8354,same,0.8,密碼檔和敏感文件都指涉資訊安全中的重要資料
事件調查資料,data,事件資料庫,data,0.8354,different,0.8,事件調查資料和事件資料庫雖相關但指稱不同概念
紀錄檔,data,設定記錄檔,data,0.8347,different,0.8,紀錄檔和設定記錄檔雖相關但指稱不同概念
特種個人資料,data,個人資訊,data,0.8344,same,0.9,兩節點名稱語意相近，均指涉及個人相關的資訊或資料
應用系統日誌,data,應用程式日誌檔,data,0.8347,same,0.8,兩節點名稱語意相近，均指應用程式的日誌記錄
資訊,data,文件化資訊,data,0.8339,same,0.8,兩節點名稱語意相近，文件化資訊可以被視為資訊的一種形式
web服務器日誌,data,網站日誌,data,0.8339,same,0.9,節點 A 和節點 B 的名稱語意相近，均指網站或網頁伺服器的日誌記錄
敏感檔案,data,敏感資訊,data,0.8347,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及敏感性質的資訊或資料
敏感個人資料,data,個人資訊,data,0.8367,same,0.9,兩節點名稱語意相近，均指涉個人相關資訊
資安事件紀錄,data,事件紀錄檔,data,0.8349,same,0.8,兩節點名稱語意相近，皆指事件紀錄
特種個人資料,data,個人機敏資料,data,0.8339,same,0.8,兩節點名稱語意相近，均指涉個人敏感資訊
資安事件紀錄,data,存取事件記錄,data,0.8336,different,0.8,儘管兩節點相關，但資安事件紀錄和存取事件記錄指稱不同概念
機密資訊,data,認證資訊,data,0.8329,different,0.8,機密資訊和認證資訊是相關但不同的概念
資料隱私,data,敏感資訊,data,0.8352,same,0.8,資料隱私和敏感資訊都是指需要保護的重要資訊
檔案資料,data,網路資料,data,0.8326,different,0.8,檔案資料和網路資料雖然都是資料，但指稱不同類型的資料
設定記錄檔,data,系統設定檔,data,0.8334,different,0.8,設定記錄檔和系統設定檔雖相關但指稱不同概念
帳號/密碼,data,密碼,data,0.8332,different,0.8,帳號/密碼和密碼雖相關但指稱不同概念
機密資訊,data,國防機密,data,0.8325,different,0.8,機密資訊和國防機密雖相關但指稱不同概念
未加密的密碼,data,密碼,data,0.8318,different,0.8,節點 A 指的是未加密的密碼，節點 B 指的是一般的密碼，兩者概念不同
ip 封包,data,資料封包,data,0.8311,same,0.9,ip 封包和資料封包在網路傳輸中是同義詞
事件稽核紀錄,data,記錄,data,0.8342,different,0.8,節點 A 指事件稽核紀錄，節點 B 指一般記錄，兩者概念不同
憑證,data,證據,data,0.8305,different,0.8,憑證和證據雖相關但指稱不同概念
電腦檔案,data,使用者文件,data,0.8303,different,0.8,電腦檔案和使用者文件雖相關但指稱不同概念
通訊資料,data,網路資料,data,0.8305,different,0.8,通訊資料和網路資料雖相關但指稱不同概念
網際網路封包,data,密碼封包,data,0.8331,different,0.8,網際網路封包和密碼封包雖相關但指稱不同概念
網際網路封包,data,資料封包,data,0.8329,same,0.9,網際網路封包和資料封包在資訊傳遞的背景下是同義詞
密碼,data,帳號與密碼,data,0.8316,different,0.8,節點 A 僅指稱密碼，節點 B 指稱帳號與密碼，兩者概念不同
應用程式日誌,data,日誌,data,0.8316,different,0.8,節點 A 和節點 B 雖然都與日誌相關，但應用程式日誌是日誌的一種特定類型
操作行為記錄,data,事件記錄,data,0.8296,different,0.8,操作行為記錄和事件記錄雖相關但指稱不同概念
資訊,data,重要資訊,data,0.8286,different,0.8,節點 A 和節點 B 雖然都屬於 data 類別，但名稱語意不同，節點 B 強調資訊的重要性
ip 地址,data,內部 ip 位址,data,0.8298,same,0.8,ip 地址和內部 ip 位址語意相近，指稱相同概念
敏感性資料,data,機敏資料,data,0.8297,same,0.9,敏感性資料和機敏資料是同義詞
電腦檔案,data,行動裝置檔案,data,0.8296,different,0.8,電腦檔案和行動裝置檔案雖相關但指稱不同概念
帳號及密碼,data,帳號資訊,data,0.8275,same,0.8,帳號及密碼和帳號資訊語意相近，指涉同一概念
重要資訊,data,個人重要資訊,data,0.8297,different,0.8,節點 A 和節點 B 雖然都與資訊相關，但節點 B 特指個人重要資訊，範圍更為狹窄
資料資產,data,網路資料,data,0.8269,different,0.8,節點 A 和節點 B 雖然都屬於 data 類別，但名稱語意不同，指稱不同的概念
郵件內容,data,郵件,data,0.826,different,0.8,郵件內容和郵件是相關但不同的概念
操作記錄,data,事件記錄,data,0.8269,different,0.8,操作記錄和事件記錄雖相關但指稱不同概念
密文,data,密碼,data,0.8283,same,0.9,密文和密碼在資訊安全領域中常被用作同義詞
機敏性,data,機敏性資料,data,0.8258,same,0.9,兩節點名稱語意相近，機敏性資料是機敏性的標準化形式
網路傳輸之訊息,data,網路傳輸活動,data,0.8262,different,0.8,節點 A 指的是網路傳輸的內容，節點 B 指的是網路傳輸的活動，兩者相關但指稱不同概念
資訊,data,損害資訊,data,0.8262,different,0.8,節點 A 和節點 B 雖然都屬於 data 類別，但名稱語意不同，節點 B 的『損害資訊』是資訊的一種特定類型
日誌,data,稽核日誌,data,0.8259,different,0.8,日誌和稽核日誌雖相關但指稱不同概念
記錄檔訊息,data,通訊訊息,data,0.8248,different,0.8,記錄檔訊息和通訊訊息雖相關但指稱不同概念
密文資料,data,加密過的資料,data,0.8246,same,0.9,密文資料和加密過的資料是同義詞
應用系統日誌,data,系統日誌檔,data,0.8288,same,0.9,兩節點名稱語意相近，均指系統運行記錄
硬碟資料,data,記憶體資料,data,0.825,different,0.8,硬碟資料和記憶體資料儘管都是資料，但存儲位置和性質不同
永久資料,data,暫存資料,data,0.8244,different,0.9,永久資料和暫存資料是兩種不同類型的資料
操作行為記錄,data,記錄,data,0.8242,different,0.8,節點 A 指的是操作行為的記錄，節點 B 只是指一般的記錄，兩者概念不同
警示,data,警告文字,data,0.8257,same,0.8,警示和警告文字在資訊或資料的本體論類別中具有相似的語意含義
存取事件記錄,data,記錄,data,0.8245,different,0.8,節點 A 和節點 B 雖然都與記錄相關，但節點 A 特指存取事件記錄，節點 B 則為一般記錄
日誌記錄,data,日誌資訊,data,0.8255,same,0.9,日誌記錄和日誌資訊在資訊或資料的本體論類別下為同義詞
公鑰,data,加密金鑰 kc,data,0.8237,same,0.8,公鑰和加密金鑰kc都是用於加密的金鑰
紙本類資訊資產,data,資訊類資產,data,0.8243,same,0.8,兩節點名稱語意相近，均指涉資訊類資產
認證資訊,data,登入資訊,data,0.8234,same,0.8,認證資訊和登入資訊在本體論類別data下具有相似的語意含義
系統紀錄資料,data,系統日誌檔,data,0.8233,same,0.8,系統紀錄資料和系統日誌檔都是指系統中記錄的資料，語意上相近
檔案資料,data,儲存資料,data,0.8237,same,0.8,檔案資料和儲存資料在資訊或資料的本體論類別下具有相似的語意含義
系統紀錄,data,記錄,data,0.8243,same,0.8,系統紀錄和記錄在資訊或資料的本體論類別下具有語意等價性
資訊,data,敏感資訊,data,0.8233,different,0.8,節點 A 和節點 B 雖然都屬於 data 類別，但指稱不同的概念，資訊是一個更廣泛的概念，而敏感資訊是資訊的一個特定子類別
憑證,data,認證資料,data,0.8225,same,0.9,憑證和認證資料在資訊安全領域中常被視為同義詞
訊息或檔案,data,訊息,data,0.822,same,0.8,節點 A 和節點 B 的名稱語意相近，均指稱資訊或訊息
文書資料,data,密文資料,data,0.8214,different,0.8,文書資料和密文資料雖然都是資料，但指稱不同概念
主金鑰 (master key),data,金鑰 (key),data,0.8226,different,0.8,主金鑰和金鑰雖相關但指稱不同概念
資料傳輸,data,網路傳輸活動,data,0.8214,different,0.8,節點 A 和節點 B 雖然都與資料傳輸相關，但節點 A 著重於資料傳輸的行為，而節點 B 強調網路傳輸的活動，指稱不同概念
系統安全日誌,data,應用系統日誌,data,0.8212,different,0.8,系統安全日誌和應用系統日誌雖相關但指稱不同概念
網路傳輸之訊息,data,通訊訊息,data,0.8211,same,0.8,兩節點名稱語意相近，皆指涉訊息傳遞
操作紀錄,data,事件記錄,data,0.8233,same,0.8,操作紀錄和事件記錄在資訊或資料的本體論類別下是同義詞
資訊,data,辨識資訊,data,0.821,different,0.8,雖然兩節點相關，但『資訊』比『辨識資訊』廣泛
雲端資料,data,網路資料,data,0.8209,different,0.8,雲端資料和網路資料雖相關但指稱不同概念
辨識資訊,data,敏感性資訊,data,0.8203,different,0.8,辨識資訊和敏感性資訊雖相關但指稱不同概念
封包內容,data,資料封包,data,0.82,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及封包中的資料內容
紙本類資訊資產,data,資料資產,data,0.8197,same,0.8,節點 A 和節點 B 都指涉資訊或資料的資產概念
重要資料,data,稽核資料,data,0.8197,different,0.8,重要資料和稽核資料雖相關但指稱不同概念
日誌記錄,data,稽核日誌,data,0.8205,same,0.8,日誌記錄和稽核日誌在資訊安全領域中常被視為同義詞
交易記錄,data,交易資料,data,0.8239,same,0.9,節點 A 和節點 B 的名稱語意等價，交易記錄和交易資料都是指同一類型的資訊或資料
證據,data,主機與網路證據,data,0.8228,different,0.8,節點 A 和節點 B 雖然都與證據相關，但節點 B 特指主機與網路證據，指稱更具體的概念
系統紀錄,data,系統日誌檔,data,0.8192,same,0.9,系統紀錄和系統日誌檔在本體論類別data下是同義詞
/var/log/lastlog,data,/var/log/dmesg,data,0.8189,different,0.9,兩個節點名稱指向不同的系統日誌檔案
資料資產,data,資料軌跡,data,0.8187,different,0.8,資料資產和資料軌跡雖相關但指稱不同概念
tcp 封包,data,封包,data,0.8187,different,0.8,tcp 封包和封包雖相關但指稱不同概念，tcp 封包是指特定於 TCP 協定的封包
帳號資訊,data,帳號與密碼,data,0.8185,same,0.8,帳號資訊和帳號與密碼都包含帳號的概念，且密碼通常是帳號的一部分
電腦檔案,data,系統檔案,data,0.8184,different,0.8,電腦檔案和系統檔案雖相關但指稱不同概念
明文,data,密文,data,0.8185,different,0.9,明文和密文是兩種不同狀態的資料
二進位格式資料,data,內容格式,data,0.8182,different,0.8,節點 A 指的是二進位格式資料，節點 B 指的是內容格式，雖相關但指稱不同概念
暫存資料,data,備份資料,data,0.8187,different,0.8,暫存資料和備份資料雖相關但指稱不同概念
憑證,data,驗證資訊,data,0.8218,same,0.8,憑證和驗證資訊在資訊安全領域中常常被用作同義詞
暫存資料,data,暫存 internet 文件,data,0.8193,different,0.8,節點 A 指的是一般暫存資料，節點 B 特指暫存的 internet 文件
日誌,data,系統作業日誌,data,0.818,same,0.8,日誌和系統作業日誌語意相近，且系統作業日誌可視為日誌的特定類型
電腦檔案,data,密碼檔,data,0.8181,different,0.8,電腦檔案和密碼檔雖相關但指稱不同概念
入侵訊息,data,通訊訊息,data,0.8177,different,0.8,入侵訊息和通訊訊息雖相關但指稱不同概念
紀錄檔,data,安全記錄檔,data,0.8178,different,0.8,節點 A 和節點 B 雖然都與記錄檔相關，但節點 B 特指安全記錄檔，指稱不同概念
資訊,data,敏感性資訊,data,0.8182,different,0.8,節點 A 和節點 B 雖然都屬於 data 類別，但指稱不同概念，資訊是一個更廣泛的概念，而敏感性資訊是資訊的一個特定子類別
文件化資訊,data,記錄檔資訊,data,0.8173,same,0.8,文件化資訊和記錄檔資訊在本體論類別data下具有相似的語意含義
日誌資訊,data,日誌檔,data,0.817,same,0.8,日誌資訊和日誌檔在資訊領域中常被視為同義詞
稽核資料,data,密文資料,data,0.8168,different,0.8,稽核資料和密文資料是相關但不同的概念
安全資料,data,敏感資訊,data,0.8179,same,0.8,安全資料和敏感資訊在資訊安全領域中常被用作同義詞
系統記錄檔,data,應用程式記錄檔,data,0.8171,different,0.8,系統記錄檔和應用程式記錄檔雖相關但指稱不同概念
私密金鑰,data,密文,data,0.8163,different,0.8,私密金鑰和密文是相關但不同的概念，前者是用於加密的金鑰，後者是經過加密的資料
金鑰 (key),data,秘密金鑰 (secret key),data,0.8169,different,0.8,金鑰和秘密金鑰雖相關但指稱不同概念
資訊,data,個人資訊,data,0.818,different,0.8,節點 A 和節點 B 雖然都與資訊相關，但節點 B 特指個人資訊，指稱不同概念
使用者資料,data,員工資料,data,0.8157,different,0.8,使用者資料和員工資料雖然都是資料，但指稱不同類型的資料
設定記錄檔,data,系統記錄檔,data,0.8177,same,0.8,設定記錄檔和系統記錄檔在本體論類別data下語意相近
紀錄檔,data,事件記錄,data,0.8163,same,0.8,紀錄檔和事件記錄在資訊或資料的本體論類別下具有相似的語意含義
通訊資訊,data,資訊,data,0.8155,same,0.8,通訊資訊和資訊是相關概念，且通訊資訊可以被視為資訊的一種子類別或特化形式
日誌記錄,data,系統日誌,data,0.8162,same,0.9,日誌記錄和系統日誌是同義詞
密碼檔案,data,使用者文件,data,0.8156,different,0.8,密碼檔案和使用者文件雖然都是資料，但指稱不同概念
文書資料,data,測試資料,data,0.8152,different,0.8,兩節點名稱雖相關但指稱不同類型的資料
電腦檔案,data,資訊檔案,data,0.8142,same,0.9,電腦檔案和資訊檔案在此語境下為同義詞
交易資料,data,交易記錄檔,data,0.8153,same,0.8,交易資料和交易記錄檔在本體論類別data下具有相似的語意含義
封包內容,data,密碼封包,data,0.8142,different,0.8,封包內容和密碼封包雖相關但指稱不同概念
系統安全日誌,data,系統日誌檔,data,0.8142,same,0.8,系統安全日誌和系統日誌檔名稱語意相近，均指涉及系統運行記錄的資料
通訊資訊,data,通訊流,data,0.8132,different,0.8,通訊資訊和通訊流雖相關但指稱不同概念
通訊資料,data,資料傳輸,data,0.8141,different,0.8,通訊資料和資料傳輸相關但指稱不同概念
應用程式日誌,data,日誌記錄,data,0.8149,same,0.8,兩節點名稱語意相近，日誌記錄可指應用程式日誌
2fa 代碼,data,通行碼,data,0.8142,same,0.8,2fa 代碼和通行碼都是用於驗證和授權的密碼或碼
系統記錄,data,系統日誌檔,data,0.8128,same,0.9,系統記錄和系統日誌檔在資訊或資料的本體論類別下是同義詞
交易歷史紀錄,data,交易記錄檔,data,0.8126,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉交易相關的紀錄
個人資料檔案,data,特種個人資料,data,0.8126,different,0.8,兩節點雖相關但指稱不同概念，個人資料檔案涵蓋範圍更廣，特種個人資料則是特定類型的個人資料
加密金鑰,data,金鑰 k,data,0.8128,same,0.8,節點 A 和節點 B 的名稱語意相近，均指稱金鑰的概念
應用程式部署設定檔,data,設定檔,data,0.8139,different,0.8,節點 A 指的是應用程式的部署設定檔，節點 B 指的是一般的設定檔，兩者概念不同
用戶資訊,data,登入資訊,data,0.8131,different,0.8,用戶資訊和登入資訊雖相關但指稱不同概念
人事資料,data,個人基本資料,data,0.8148,same,0.9,人事資料和個人基本資料在此語境下是同義詞
個人基本資料,data,用戶資料,data,0.8122,same,0.9,個人基本資料和用戶資料在此語境下為同義詞
辨識資訊,data,驗證資訊,data,0.812,same,0.8,辨識資訊和驗證資訊在本體論類別data下為同義詞
認證資料,data,測試資料,data,0.812,different,0.8,認證資料和測試資料雖然都是資料，但指稱不同概念
系統記錄檔,data,事件紀錄檔,data,0.8124,same,0.8,系統記錄檔和事件紀錄檔在本體論類別data下為同義詞
警示,data,入侵警告訊息,data,0.8112,different,0.8,節點 A 和節點 B 雖然都與警示相關，但指稱的概念不同，節點 A 是一般的警示，節點 B 是特指入侵警告訊息
文書資料,data,日誌資料,data,0.8112,different,0.8,文書資料和日誌資料雖然都是資料，但指稱不同類型的資料
內部使用資料,data,資料庫內的資料,data,0.8104,same,0.8,兩節點名稱語意相近，均指涉資料的內部使用或儲存
資料資產,data,資料區塊,data,0.8108,different,0.8,資料資產和資料區塊雖相關但指稱不同概念
永久資料,data,儲存資料,data,0.8101,same,0.8,永久資料和儲存資料在資訊或資料的本體論類別下具有相似的語意含義
流量 (traffic),data,網路流量,data,0.8105,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉網路流量
資料資產,data,有價值的資料,data,0.8096,same,0.8,兩節點名稱語意相近，均指稱具有價值的資料
硬碟資料,data,網路資料,data,0.8107,different,0.8,硬碟資料和網路資料雖然都是資料，但指稱不同存儲和傳輸的概念
網路通訊資料,data,傳輸資料,data,0.8102,same,0.8,網路通訊資料和傳輸資料在資訊或資料的本體論類別下具有相似的語意含義
認知密碼,data,通行碼,data,0.8122,same,0.8,認知密碼和通行碼都是用於授權或驗證的密碼，語意上相近
/var/log/lastlog,data,/var/log/cron,data,0.8093,different,0.9,兩節點名稱指向不同日誌檔案
測試資料,data,機敏資料,data,0.8094,different,0.8,測試資料和機敏資料雖然都是資料，但指稱不同類型的資料
系統安全日誌,data,安全記錄檔,data,0.8091,same,0.9,系統安全日誌和安全記錄檔是同義詞
登入資訊,data,驗證資訊,data,0.809,same,0.8,登入資訊和驗證資訊在本體論類別中指涉同一概念
稽核資料,data,資料軌跡,data,0.8097,different,0.8,稽核資料和資料軌跡雖相關但指稱不同概念
公鑰,data,公開憑證,data,0.8086,different,0.8,公鑰和公開憑證相關但指稱不同概念
郵件資料,data,通訊資料,data,0.8086,different,0.8,郵件資料和通訊資料雖相關但指稱不同概念
交易記錄檔,data,事件紀錄檔,data,0.8089,different,0.8,交易記錄檔和事件紀錄檔雖相關但指稱不同概念
文書資料,data,資料資產,data,0.8078,different,0.8,文書資料和資料資產雖相關但指稱不同概念
路由封包,data,密碼封包,data,0.8091,different,0.8,路由封包和密碼封包雖然都是封包，但指稱不同概念
個人資料檔案,data,個人重要資訊,data,0.8092,same,0.9,兩節點名稱語意相近，均指涉個人相關資訊
測試資料,data,稽核資料,data,0.8092,different,0.8,測試資料和稽核資料雖相關但指稱不同概念
帳號/密碼,data,帳號資訊,data,0.8076,same,0.8,帳號/密碼和帳號資訊在本體論類別data下語意相近
syn-ack 封包,data,封包,data,0.8085,different,0.8,syn-ack 封包是一種特定的封包類型，而封包是更廣泛的概念
原始文件,data,原始碼,data,0.8072,different,0.8,原始文件和原始碼雖然都是資料，但指稱不同概念
認知密碼,data,加密金鑰,data,0.807,different,0.8,認知密碼和加密金鑰是相關但不同的資訊安全概念
/var/log/dmesg,data,/var/log/cron,data,0.8071,different,0.9,兩節點名稱指向不同日誌檔案
日誌記錄,data,作業日誌,data,0.8077,same,0.9,日誌記錄和作業日誌在資訊或資料的本體論類別下是同義詞
/var/log/dmesg,data,/var/log/wtmp,data,0.8104,different,0.8,兩節點名稱雖相關但指稱不同日誌檔案
儲存資料,data,記憶體資料,data,0.807,different,0.8,儲存資料和記憶體資料雖相關但指稱不同概念
程式碼,data,源代碼,data,0.807,same,0.9,程式碼和源代碼是同義詞
重要資料,data,明文資料,data,0.8068,different,0.8,重要資料和明文資料雖相關但指稱不同概念
生物識別,data,個人身分識別碼,data,0.8067,different,0.8,生物識別和個人身分識別碼雖相關但指稱不同概念
/var/log/cron,data,/var/log/wtmp,data,0.8061,different,0.8,兩節點名稱雖相關但指稱不同日誌檔案
通訊流,data,流量,data,0.8076,same,0.8,通訊流和流量在資訊或資料的本體論類別中具有相似的語意含義
特權帳號使用紀錄,data,權限變更紀錄,data,0.8067,different,0.8,兩節點雖相關但指稱不同概念，特權帳號使用紀錄與權限變更紀錄是不同的安全監控內容
圖書館借書資料,data,書本,data,0.8054,different,0.9,圖書館借書資料和書本是相關但不同的概念
認證資訊,data,辨識資訊,data,0.8054,same,0.8,認證資訊和辨識資訊在本體論類別中都與資訊或資料相關，且兩者名稱語意上有相似之處
個人資料檔案,data,資訊檔案,data,0.8066,same,0.8,節點名稱語意相近，個人資料檔案和資訊檔案都指涉資訊或資料的集合
位元串,data,組值,data,0.8051,same,0.8,位元串和組值在資訊或資料的本體論類別中可以視為同義詞
網路封包,data,應用程式封包,data,0.8058,different,0.8,網路封包和應用程式封包雖相關但指稱不同概念
備份資料,data,加密過的資料,data,0.8054,different,0.8,兩節點雖相關但指稱不同概念，備份資料和加密過的資料是資料的不同處理形式
交易記錄,data,操作記錄,data,0.8048,different,0.8,交易記錄和操作記錄雖相關但指稱不同概念
文書資料,data,重要資料,data,0.8041,different,0.8,節點名稱語意不等價，指稱不同概念
訊息或檔案,data,通訊訊息,data,0.8058,different,0.8,雖然兩節點都與資訊或資料相關，但節點 A 的訊息或檔案涵蓋更廣泛的概念，包括所有形式的資料，而節點 B 的通訊訊息則特指通過通訊方式傳遞的訊息
機敏資料,data,網路資料,data,0.8057,different,0.8,機敏資料和網路資料雖相關但指稱不同概念
個人基本資料,data,員工資料,data,0.8052,same,0.8,個人基本資料和員工資料都指涉到個人的基本信息
主金鑰 (master key),data,金鑰,data,0.804,different,0.8,主金鑰和金鑰雖相關但指稱不同概念
敏感性資訊,data,損害資訊,data,0.8042,different,0.8,兩節點名稱雖相關但指稱不同概念
人事資料,data,使用者資料,data,0.8036,different,0.8,人事資料和使用者資料雖相關但指稱不同概念
私密金鑰,data,主金鑰,data,0.8038,different,0.8,私密金鑰和主金鑰在加密中指涉不同角色
公司資料,data,員工資料,data,0.8032,different,0.8,公司資料和員工資料是相關但不同的概念
郵件資料,data,郵件,data,0.804,different,0.8,郵件資料和郵件雖相關但指稱不同概念
系統紀錄資料,data,系統日誌,data,0.8029,same,0.8,系統紀錄資料和系統日誌在本體論類別data下為同義詞
系統記錄,data,系統作業日誌,data,0.8033,same,0.9,系統記錄和系統作業日誌在本體論類別data下是同義詞
日誌檔,data,稽核日誌,data,0.8029,same,0.8,日誌檔和稽核日誌都是用來記錄系統或應用程式的運行狀態和事件的檔案，名稱語意相近
文件化資訊,data,電腦檔案,data,0.8028,different,0.8,文件化資訊和電腦檔案雖相關但指稱不同概念
交易記錄,data,操作紀錄,data,0.8028,same,0.8,交易記錄和操作紀錄在此語境下為同義詞
測試資料,data,網路資料,data,0.8039,different,0.8,測試資料和網路資料雖然都是資料，但指稱不同類型的資料
稽核資料,data,備份資料,data,0.8025,different,0.8,稽核資料和備份資料雖相關但指稱不同概念
帳號密碼,data,無線網路密碼,data,0.805,different,0.8,兩節點雖相關但指稱不同概念，帳號密碼和無線網路密碼是不同類型的密碼
操作記錄,data,事件稽核紀錄,data,0.802,same,0.8,操作記錄和事件稽核紀錄在資訊安全領域中常被視為同義詞
資料資產,data,雲端資料,data,0.8029,different,0.8,節點 A 和節點 B 雖然都與資料有關，但指稱不同概念，資料資產涵蓋更廣泛的資料類型，而雲端資料則特指儲存於雲端的資料
應用程式封包,data,密碼封包,data,0.8022,different,0.8,兩節點名稱語意不同，應用程式封包和密碼封包指稱不同概念
網路傳輸活動,data,傳輸資料,data,0.8006,different,0.8,節點 A 指網路傳輸活動，節點 B 指傳輸資料，雖相關但指稱不同概念
操作紀錄,data,權限變更紀錄,data,0.8021,different,0.8,操作紀錄和權限變更紀錄是相關但不同的概念
威脅資訊,data,損害資訊,data,0.8014,different,0.8,威脅資訊和損害資訊雖相關但指稱不同概念
網路日誌,data,日誌記錄,data,0.8035,same,0.8,網路日誌和日誌記錄在資訊或資料的本體論類別下具有相似的語意含義
硬碟資料,data,儲存資料,data,0.8011,same,0.9,硬碟資料和儲存資料在此語境下指稱同一概念
/var/log/cron,data,/var/log/secure,data,0.8005,different,0.9,兩節點名稱雖相關但指稱不同日誌檔案
通訊資料,data,通訊流,data,0.8005,different,0.8,通訊資料和通訊流雖相關但指稱不同概念
儲存資料,data,備份,data,0.8001,different,0.8,儲存資料和備份是相關但不同的概念
報表,data,稽核報告,data,0.8005,different,0.8,報表和稽核報告雖相關但指稱不同概念
隱私,principle,機密性,principle,0.8784,different,0.8,隱私和機密性相關但指稱不同概念
隱私權,principle,機密性,principle,0.807,different,0.8,隱私權和機密性是相關但不同的資安概念
隱私權,principle,隱私,principle,0.9008,same,0.9,兩節點名稱語意等價，隱私權和隱私是同義詞
tcp 封包,data,密碼封包,data,0.8002,different,0.8,tcp 封包和密碼封包雖然都是封包，但指稱不同概念
資料資產,data,機敏資料,data,0.8017,different,0.8,資料資產和機敏資料雖相關但指稱不同概念
密碼模組風險,risk,密碼模組安全性風險,risk,0.9726,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指密碼模組的安全風險
